uid,date,lon,lat,id,ii,pt,dck,sid,at,sst,w,d,slp,supd
D01457,1914-08-09T12:00:00Z,-4.75,50.08,Endurance,10,5,246,167,15.6,,9.3,203,1020.6,
D0146Q,1914-08-09T16:00:00Z,-5.12,49.79,Endurance,10,5,246,167,15.6,,12.3,214,1021.2,
D01485,1914-08-09T20:00:00Z,-5.49,49.5,Endurance,10,5,246,167,16.7,,2.6,214,1023.1,
D014A0,1914-08-10T00:00:00Z,-5.86,49.2,Endurance,10,5,246,167,15.6,,4.6,270,1022.9,
D014C7,1914-08-10T04:00:00Z,-6.23,48.91,Endurance,10,5,246,167,15.6,,,362,1024,
D014DM,1914-08-10T08:00:00Z,-6.6,48.62,Endurance,10,5,246,167,16.7,,2.6,248,1027.1,
D014ER,1914-08-10T12:00:00Z,-6.97,48.33,Endurance,10,5,246,167,16.9,,2.6,315,1028.6,
D014G7,1914-08-10T16:00:00Z,-7.06,48.19,Endurance,10,5,246,167,18.5,,4.6,315,1028.7,
D014HF,1914-08-10T20:00:00Z,-7.16,48.05,Endurance,10,5,246,167,15.8,,1,338,1029.1,
D014J8,1914-08-11T00:00:00Z,-7.25,47.92,Endurance,10,5,246,167,15.6,,1,45,1024.5,
D014LG,1914-08-11T04:00:00Z,-7.34,47.78,Endurance,10,5,246,167,15.6,,4.6,34,1031.9,
D014MU,1914-08-11T08:00:00Z,-7.43,47.64,Endurance,10,5,246,167,16.7,,4.6,,1031.9,
D014OK,1914-08-11T13:00:00Z,-7.55,47.47,Endurance,10,5,246,167,16.7,,9.3,79,1032,
D014PV,1914-08-11T17:00:00Z,-7.69,47.25,Endurance,10,5,246,167,16.1,,6.7,45,1030.7,
D014R9,1914-08-11T21:00:00Z,-7.84,47.04,Endurance,10,5,246,167,,16.4,9.3,45,,
D014TU,1914-08-12T01:00:00Z,-7.98,46.82,Endurance,10,5,246,167,,,6.7,68,1028.7,
D014UZ,1914-08-12T05:00:00Z,-8.13,46.61,Endurance,10,5,246,167,17.2,16.7,9.3,113,1024.9,
